796,0
544,4
30,16
30,16
30,20
30,24
794,24
30,24
796,28
30,36
30,36
544,40
30,40
30,40
30,48
30,48
30,48
30,52
30,56
794,60
30,60
30,64
30,64
30,68
30,68
30,68
30,84
30,84
30,88
546,92
30,100
30,100
30,104
30,104
30,104
30,108
30,116
30,116
30,128
796,128
544,132
30,132
30,132
30,140
30,144
30,148
30,152
30,160
544,164
564,168
30,172
30,172
30,180
30,180
796,188
30,192
30,200
30,200
30,200
544,204
796,204
796,204
796,212
30,212
30,220
30,220
30,228
543,232
30,240
796,244
30,244
30,244
30,252
30,252
30,260
30,260
30,272
30,272
30,276
30,276
30,280
30,284
30,284
30,288
30,296
30,296
30,300
546,308
30,308
30,308
30,308
794,312
796,316
30,320
794,320
30,324
30,324
30,328
30,328
794,332
