564,2,624,3324,528,13952,1428,1048,145
543,2,624,2872,332,10772,458,324,414
544,2,624,5680,4120,13112,6616,2785,6980
543,2,624,6036,1892,14492,3680,4931,2462
563,2,625,9800,1776,6232,10618,2559,284
560,2,625,5060,5052,17200,4755,896,3596
546,2,630,308,2136,15272,5845,1051,627
546,2,625,8000,1552,6184,6341,556,1260
544,2,629,6568,576,12884,4744,1714,1597
544,2,626,5052,5236,15148,5497,4957,404
563,2,625,6308,3964,9828,4865,2822,3151
560,2,625,5352,5156,12864,3858,3721,4
560,2,625,4440,4836,12088,1706,3312,67
543,2,624,8684,4164,13028,2250,9715,5235
544,2,624,12448,5388,19036,3237,1185,3451
563,2,624,7460,7060,20032,379,10249,3885
544,2,628,7480,3428,6892,1136,4208,2773
544,2,624,5416,3384,10560,4862,7252,6192
563,2,624,7492,3000,15236,7652,661,4310
544,2,627,12380,6040,15188,3814,7449,3717
544,2,624,7452,2524,10284,1759,3149,4677
546,2,623,1092,2312,19140,1620,1628,3447
546,2,627,11108,576,11964,3836,6688,2574
544,2,624,3688,56,18020,4741,15230,1660
544,2,623,2808,1656,6408,488,2357,7937
544,2,622,5900,1680,11752,2654,898,4687
544,2,622,2344,2096,16524,300,5121,3457
564,2,620,6816,560,16152,1989,2314,1141
544,2,624,868,148,13120,4066,6045,2753
544,2,620,2368,3920,13368,2740,5198,4194
544,2,619,3724,64,13728,2863,4232,593
564,2,620,9436,3732,10272,4256,5440,2821
546,2,624,11148,888,15468,5959,1315,4413
543,2,620,6896,520,6756,1009,1062,2469
544,2,620,6940,4616,5004,1752,820,1358
544,2,622,11568,7792,13164,326,3554,1673
544,2,622,5056,6416,11800,4466,5713,3814
544,2,622,2420,1676,11916,1558,66,3715
544,2,622,9184,328,6572,3319,2527,4382
546,2,626,14552,412,15892,1886,464,5884
544,2,623,3996,184,11624,2989,240,1420
544,2,622,6952,2792,8828,1890,334,650
564,2,623,6800,5988,17436,138,3125,6371
546,2,628,8728,6072,13552,793,2229,2621
543,2,623,1668,644,12380,3247,603,2753
544,2,623,4536,88,7828,5024,2259,87
